Frame	 PSNR-Y 	 PSNR-U 	 PSNR-V 	 PSNR-All 	 Frame	  SSIM-Y	  SSIM-U	  SSIM-V	  SSIM-All	 Frame
  175	 41.134583	 41.511034	 41.071291	 41.184340	  min	  0.970970	  0.945674	  0.950677	  0.963372	     
  176	 41.490208	 41.963938	 41.689672	 41.598849	     	  0.971008	  0.948770	  0.955446	  0.964708	     
  177	 41.134447	 41.444425	 41.038811	 41.168325	  min	  0.970512	  0.944679	  0.950051	  0.962796	     
  178	 41.545667	 41.641002	 41.312497	 41.521527	     	  0.971146	  0.945790	  0.952027	  0.963734	     
  179	 40.960629	 41.479870	 41.141707	 41.073201	  min	  0.969571	  0.944762	  0.950948	  0.962332	     
  180	 41.357556	 41.853244	 41.677204	 41.488959	     	  0.969862	  0.947420	  0.954928	  0.963632	     
  181	 40.900418	 41.487249	 41.203378	 41.042990	  min	  0.969075	  0.944630	  0.951139	  0.962012	     
  182	 41.327772	 41.619597	 41.345090	 41.377981	     	  0.970015	  0.945159	  0.951886	  0.962850	     
  183	 40.797156	 41.496878	 41.212379	 40.974435	  min	  0.968657	  0.944594	  0.951221	  0.961741	     
  184	 41.210907	 41.731069	 41.544468	 41.348272	     	  0.969141	  0.945922	  0.953284	  0.962628	     
  185	 40.832723	 41.480078	 41.323550	 41.014044	     	  0.968809	  0.944093	  0.951746	  0.961846	     
  186	 41.153385	 41.550818	 41.376362	 41.254067	     	  0.969444	  0.943941	  0.951872	  0.962265	     
  187	 40.932938	 41.434286	 41.328716	 41.077272	     	  0.968717	  0.943517	  0.951934	  0.961720	     
  188	 41.081831	 41.485302	 41.377512	 41.195153	     	  0.968740	  0.943201	  0.951465	  0.961604	     
  189	 41.009317	 41.504775	 41.491346	 41.166197	     	  0.969211	  0.943884	  0.952660	  0.962231	     
  190	 41.102258	 41.520384	 41.499191	 41.233893	     	  0.969258	  0.943274	  0.952352	  0.962110	     
  191	 41.254995	 41.578210	 41.594274	 41.362626	     	  0.970021	  0.943767	  0.952994	  0.962808	     
  192	 42.537339	 42.601013	 42.632031	 42.563564	     	  0.975869	  0.954865	  0.962139	  0.970080	     
  193	 41.352194	 42.101838	 42.313142	 41.618631	     	  0.972930	  0.952130	  0.959817	  0.967278	     
  194	 41.270246	 41.973330	 42.117778	 41.513444	     	  0.972686	  0.950505	  0.957969	  0.966536	     
  195	 40.829133	 41.724303	 41.980377	 41.143621	     	  0.971371	  0.949007	  0.957021	  0.965252	     
